/Users/zacharyreid/Library/Python/3.9/lib/python/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
2026-03-04 13:16:50,830 - __main__ - ERROR - Error processing event UFC 327: Prochazka vs. Ulberg: 'Event' object has no attribute 'url'
2026-03-04 13:16:50,830 - __main__ - ERROR - Error processing event UFC Fight Night: Brady vs. Buckley: 'Event' object has no attribute 'url'
2026-03-04 13:16:50,830 - __main__ - ERROR - Error processing event UFC Fight Night: Della Maddalena vs. Prates: 'Event' object has no attribute 'url'
2026-03-04 13:16:50,830 - __main__ - INFO - ✅ Phase 3 Complete - Total fights: 218
2026-03-04 13:16:50,830 - __main__ - INFO - 🏁 MILESTONE: PHASE 3 COMPLETE - 0 completed 
2026-03-04 13:16:50,839 - __main__ - INFO - 📊 OVERALL PROGRESS:
2026-03-04 13:16:50,839 - __main__ - INFO -    Fighters: 4455 total, 4 with career stats
2026-03-04 13:16:50,839 - __main__ - INFO -    Events: 33
2026-03-04 13:16:50,839 - __main__ - INFO -    Fights: 218
2026-03-04 13:16:50,839 - __main__ - INFO -    Fight Stats: 430
2026-03-04 13:16:50,839 - __main__ - INFO - ============================================================
2026-03-04 13:16:50,839 - __main__ - INFO - COMPREHENSIVE SCRAPE COMPLETE!
2026-03-04 13:16:50,839 - __main__ - INFO - ============================================================
2026-03-04 13:16:50,839 - __main__ - INFO - Fighters updated with career stats: 0
2026-03-04 13:16:50,839 - __main__ - INFO - New events added: 0
2026-03-04 13:16:50,839 - __main__ - INFO - New fights added: 0
2026-03-04 13:16:50,839 - __main__ - INFO - New fight stats added: 0
2026-03-04 13:16:50,839 - __main__ - INFO - Errors: 4488
2026-03-04 13:16:50,839 - __main__ - INFO - End time: 2026-03-04 13:16:50.839373
2026-03-04 13:16:50,839 - scrapers.ufc_scraper - INFO - 📊 Scraping Stats: 4456 requests, 0 errors
